metodo,imagen_id,nivel_brillo,estado_ojo,ear_ref,clase_ref,ear_mejorada,clase_predicha,resultado
CLAHE,closed_eye_0059.jpg_face_2,B10,cerrado,0.10055,cerrado,0.146483,cerrado,TP
CLAHE,closed_eye_0059.jpg_face_2,B15,cerrado,0.10055,cerrado,0.134313,cerrado,TP
CLAHE,closed_eye_0059.jpg_face_2,B25,cerrado,0.10055,cerrado,0.08749,cerrado,TP
CLAHE,closed_eye_0059.jpg_face_2,B40,cerrado,0.10055,cerrado,0.108167,cerrado,TP
CLAHE,closed_eye_0060.jpg_face_1,B5,cerrado,0.047151,cerrado,0.096034,cerrado,TP
CLAHE,closed_eye_0060.jpg_face_1,B10,cerrado,0.047151,cerrado,0.058917,cerrado,TP
CLAHE,closed_eye_0060.jpg_face_1,B15,cerrado,0.047151,cerrado,0.061999,cerrado,TP
CLAHE,closed_eye_0060.jpg_face_1,B25,cerrado,0.047151,cerrado,0.029027,cerrado,TP
CLAHE,closed_eye_0060.jpg_face_1,B40,cerrado,0.047151,cerrado,0.033156,cerrado,TP
CLAHE,closed_eye_0068.jpg_face_1,B5,cerrado,0.047283,cerrado,0.12413,cerrado,TP
CLAHE,closed_eye_0068.jpg_face_1,B10,cerrado,0.047283,cerrado,0.073972,cerrado,TP
CLAHE,closed_eye_0068.jpg_face_1,B15,cerrado,0.047283,cerrado,0.078628,cerrado,TP
CLAHE,closed_eye_0068.jpg_face_1,B25,cerrado,0.047283,cerrado,0.062478,cerrado,TP
CLAHE,closed_eye_0068.jpg_face_1,B40,cerrado,0.047283,cerrado,0.040212,cerrado,TP
CLAHE,closed_eye_0077.jpg_face_1,B5,cerrado,0.062263,cerrado,0.091988,cerrado,TP
CLAHE,closed_eye_0077.jpg_face_1,B10,cerrado,0.062263,cerrado,0.051098,cerrado,TP
CLAHE,closed_eye_0077.jpg_face_1,B15,cerrado,0.062263,cerrado,0.049494,cerrado,TP
CLAHE,closed_eye_0077.jpg_face_1,B25,cerrado,0.062263,cerrado,0.058207,cerrado,TP
CLAHE,closed_eye_0077.jpg_face_1,B40,cerrado,0.062263,cerrado,0.058696,cerrado,TP
CLAHE,closed_eye_0086.jpg_face_2,B5,cerrado,0.055506,cerrado,0.098616,cerrado,TP
CLAHE,closed_eye_0086.jpg_face_2,B10,cerrado,0.055506,cerrado,0.08738,cerrado,TP
CLAHE,closed_eye_0086.jpg_face_2,B15,cerrado,0.055506,cerrado,0.07639,cerrado,TP
CLAHE,closed_eye_0086.jpg_face_2,B25,cerrado,0.055506,cerrado,0.067382,cerrado,TP
CLAHE,closed_eye_0086.jpg_face_2,B40,cerrado,0.055506,cerrado,0.077912,cerrado,TP
CLAHE,closed_eye_0091.jpg_face_1,B5,cerrado,0.050929,cerrado,0.138886,cerrado,TP
CLAHE,closed_eye_0091.jpg_face_1,B10,cerrado,0.050929,cerrado,0.048436,cerrado,TP
CLAHE,closed_eye_0091.jpg_face_1,B15,cerrado,0.050929,cerrado,0.062715,cerrado,TP
CLAHE,closed_eye_0091.jpg_face_1,B25,cerrado,0.050929,cerrado,0.052594,cerrado,TP
CLAHE,closed_eye_0091.jpg_face_1,B40,cerrado,0.050929,cerrado,0.055417,cerrado,TP
CLAHE,closed_eye_0093.jpg_face_1,B5,cerrado,0.078215,cerrado,0.201095,abierto,FN
CLAHE,closed_eye_0093.jpg_face_1,B10,cerrado,0.078215,cerrado,0.102275,cerrado,TP
CLAHE,closed_eye_0093.jpg_face_1,B15,cerrado,0.078215,cerrado,0.102042,cerrado,TP
CLAHE,closed_eye_0093.jpg_face_1,B25,cerrado,0.078215,cerrado,0.106423,cerrado,TP
CLAHE,closed_eye_0093.jpg_face_1,B40,cerrado,0.078215,cerrado,0.108241,cerrado,TP
CLAHE,closed_eye_0095.jpg_face_1,B5,cerrado,0.054832,cerrado,0.170385,abierto,FN
CLAHE,closed_eye_0095.jpg_face_1,B10,cerrado,0.054832,cerrado,0.098501,cerrado,TP
CLAHE,closed_eye_0095.jpg_face_1,B15,cerrado,0.054832,cerrado,0.070219,cerrado,TP
CLAHE,closed_eye_0095.jpg_face_1,B25,cerrado,0.054832,cerrado,0.06443,cerrado,TP
CLAHE,closed_eye_0095.jpg_face_1,B40,cerrado,0.054832,cerrado,0.066434,cerrado,TP
CLAHE,closed_eye_0097.jpg_face_4,B5,cerrado,0.02637,cerrado,0.212558,abierto,FN
CLAHE,closed_eye_0097.jpg_face_4,B10,cerrado,0.02637,cerrado,0.144457,cerrado,TP
CLAHE,closed_eye_0097.jpg_face_4,B15,cerrado,0.02637,cerrado,0.118573,cerrado,TP
CLAHE,closed_eye_0097.jpg_face_4,B25,cerrado,0.02637,cerrado,0.032734,cerrado,TP
CLAHE,closed_eye_0097.jpg_face_4,B40,cerrado,0.02637,cerrado,0.035645,cerrado,TP
CLAHE,closed_eye_0105.jpg_face_2,B5,cerrado,0.07693,cerrado,0.156347,abierto,FN
CLAHE,closed_eye_0105.jpg_face_2,B10,cerrado,0.07693,cerrado,0.115288,cerrado,TP
CLAHE,closed_eye_0105.jpg_face_2,B15,cerrado,0.07693,cerrado,0.114943,cerrado,TP
CLAHE,closed_eye_0105.jpg_face_2,B25,cerrado,0.07693,cerrado,0.072589,cerrado,TP
CLAHE,closed_eye_0105.jpg_face_2,B40,cerrado,0.07693,cerrado,0.055204,cerrado,TP
CLAHE,closed_eye_0139.jpg_face_1,B5,cerrado,0.065564,cerrado,0.080836,cerrado,TP
CLAHE,closed_eye_0139.jpg_face_1,B10,cerrado,0.065564,cerrado,0.054278,cerrado,TP
CLAHE,closed_eye_0139.jpg_face_1,B15,cerrado,0.065564,cerrado,0.072987,cerrado,TP
CLAHE,closed_eye_0139.jpg_face_1,B25,cerrado,0.065564,cerrado,0.06367,cerrado,TP
CLAHE,closed_eye_0139.jpg_face_1,B40,cerrado,0.065564,cerrado,0.068093,cerrado,TP
CLAHE,closed_eye_0142.jpg_face_1,B5,cerrado,0.039781,cerrado,0.073546,cerrado,TP
CLAHE,closed_eye_0142.jpg_face_1,B10,cerrado,0.039781,cerrado,0.063226,cerrado,TP
CLAHE,closed_eye_0142.jpg_face_1,B15,cerrado,0.039781,cerrado,0.060042,cerrado,TP
CLAHE,closed_eye_0142.jpg_face_1,B25,cerrado,0.039781,cerrado,0.051507,cerrado,TP
CLAHE,closed_eye_0142.jpg_face_1,B40,cerrado,0.039781,cerrado,0.0648,cerrado,TP
CLAHE,closed_eye_0151.jpg_face_1,B5,cerrado,0.052451,cerrado,0.098774,cerrado,TP
CLAHE,closed_eye_0151.jpg_face_1,B10,cerrado,0.052451,cerrado,0.04742,cerrado,TP
CLAHE,closed_eye_0151.jpg_face_1,B15,cerrado,0.052451,cerrado,0.048826,cerrado,TP
CLAHE,closed_eye_0151.jpg_face_1,B25,cerrado,0.052451,cerrado,0.042821,cerrado,TP
CLAHE,closed_eye_0151.jpg_face_1,B40,cerrado,0.052451,cerrado,0.065305,cerrado,TP
CLAHE,closed_eye_0151.jpg_face_2,B5,cerrado,0.038325,cerrado,0.131647,cerrado,TP
CLAHE,closed_eye_0151.jpg_face_2,B10,cerrado,0.038325,cerrado,0.069304,cerrado,TP
CLAHE,closed_eye_0151.jpg_face_2,B15,cerrado,0.038325,cerrado,0.070589,cerrado,TP
CLAHE,closed_eye_0151.jpg_face_2,B25,cerrado,0.038325,cerrado,0.071282,cerrado,TP
CLAHE,closed_eye_0151.jpg_face_2,B40,cerrado,0.038325,cerrado,0.065849,cerrado,TP
CLAHE,closed_eye_0161.jpg_face_1,B5,cerrado,0.086532,cerrado,0.147128,cerrado,TP
CLAHE,closed_eye_0161.jpg_face_1,B10,cerrado,0.086532,cerrado,0.085207,cerrado,TP
CLAHE,closed_eye_0161.jpg_face_1,B15,cerrado,0.086532,cerrado,0.107236,cerrado,TP
CLAHE,closed_eye_0161.jpg_face_1,B25,cerrado,0.086532,cerrado,0.089213,cerrado,TP
CLAHE,closed_eye_0161.jpg_face_1,B40,cerrado,0.086532,cerrado,0.140727,cerrado,TP
CLAHE,closed_eye_0162.jpg_face_1,B5,cerrado,0.03802,cerrado,0.07807,cerrado,TP
CLAHE,closed_eye_0162.jpg_face_1,B10,cerrado,0.03802,cerrado,0.06497,cerrado,TP
CLAHE,closed_eye_0162.jpg_face_1,B15,cerrado,0.03802,cerrado,0.049599,cerrado,TP
CLAHE,closed_eye_0162.jpg_face_1,B25,cerrado,0.03802,cerrado,0.045264,cerrado,TP
CLAHE,closed_eye_0162.jpg_face_1,B40,cerrado,0.03802,cerrado,0.045312,cerrado,TP
CLAHE,closed_eye_0165.jpg_face_2,B5,cerrado,0.092497,cerrado,0.185532,abierto,FN
CLAHE,closed_eye_0165.jpg_face_2,B10,cerrado,0.092497,cerrado,0.14865,cerrado,TP
CLAHE,closed_eye_0165.jpg_face_2,B15,cerrado,0.092497,cerrado,0.11546,cerrado,TP
CLAHE,closed_eye_0165.jpg_face_2,B25,cerrado,0.092497,cerrado,0.098852,cerrado,TP
CLAHE,closed_eye_0165.jpg_face_2,B40,cerrado,0.092497,cerrado,0.093922,cerrado,TP
CLAHE,closed_eye_0168.jpg_face_1,B5,cerrado,0.063652,cerrado,0.085944,cerrado,TP
CLAHE,closed_eye_0168.jpg_face_1,B10,cerrado,0.063652,cerrado,0.083249,cerrado,TP
CLAHE,closed_eye_0168.jpg_face_1,B15,cerrado,0.063652,cerrado,0.077989,cerrado,TP
CLAHE,closed_eye_0168.jpg_face_1,B25,cerrado,0.063652,cerrado,0.076434,cerrado,TP
CLAHE,closed_eye_0168.jpg_face_1,B40,cerrado,0.063652,cerrado,0.079383,cerrado,TP
CLAHE,closed_eye_0171.jpg_face_1,B5,cerrado,0.032013,cerrado,0.155948,abierto,FN
CLAHE,closed_eye_0171.jpg_face_1,B10,cerrado,0.032013,cerrado,0.064973,cerrado,TP
CLAHE,closed_eye_0171.jpg_face_1,B15,cerrado,0.032013,cerrado,0.062567,cerrado,TP
CLAHE,closed_eye_0171.jpg_face_1,B25,cerrado,0.032013,cerrado,0.018696,cerrado,TP
CLAHE,closed_eye_0171.jpg_face_1,B40,cerrado,0.032013,cerrado,0.021628,cerrado,TP
CLAHE,closed_eye_0178.jpg_face_1,B5,cerrado,0.135862,cerrado,0.159326,abierto,FN
CLAHE,closed_eye_0178.jpg_face_1,B10,cerrado,0.135862,cerrado,0.146971,cerrado,TP
CLAHE,closed_eye_0178.jpg_face_1,B15,cerrado,0.135862,cerrado,0.132474,cerrado,TP
CLAHE,closed_eye_0178.jpg_face_1,B25,cerrado,0.135862,cerrado,0.129953,cerrado,TP
CLAHE,closed_eye_0178.jpg_face_1,B40,cerrado,0.135862,cerrado,0.120971,cerrado,TP
CLAHE,closed_eye_0183.jpg_face_1,B5,cerrado,0.041944,cerrado,0.120881,cerrado,TP
CLAHE,closed_eye_0183.jpg_face_1,B10,cerrado,0.041944,cerrado,0.067209,cerrado,TP
CLAHE,closed_eye_0183.jpg_face_1,B15,cerrado,0.041944,cerrado,0.057406,cerrado,TP
CLAHE,closed_eye_0183.jpg_face_1,B25,cerrado,0.041944,cerrado,0.038894,cerrado,TP
CLAHE,closed_eye_0183.jpg_face_1,B40,cerrado,0.041944,cerrado,0.056433,cerrado,TP
CLAHE,closed_eye_0185.jpg_face_1,B5,cerrado,0.027319,cerrado,0.054829,cerrado,TP
CLAHE,closed_eye_0185.jpg_face_1,B10,cerrado,0.027319,cerrado,0.02709,cerrado,TP
CLAHE,closed_eye_0185.jpg_face_1,B15,cerrado,0.027319,cerrado,0.02827,cerrado,TP
CLAHE,closed_eye_0185.jpg_face_1,B25,cerrado,0.027319,cerrado,0.037599,cerrado,TP
CLAHE,closed_eye_0185.jpg_face_1,B40,cerrado,0.027319,cerrado,0.02818,cerrado,TP
CLAHE,closed_eye_0189.jpg_face_1,B5,cerrado,0.1466,cerrado,0.205894,abierto,FN
CLAHE,closed_eye_0189.jpg_face_1,B10,cerrado,0.1466,cerrado,0.226204,abierto,FN
CLAHE,closed_eye_0189.jpg_face_1,B15,cerrado,0.1466,cerrado,0.209716,abierto,FN
CLAHE,closed_eye_0189.jpg_face_1,B25,cerrado,0.1466,cerrado,0.180436,abierto,FN
CLAHE,closed_eye_0189.jpg_face_1,B40,cerrado,0.1466,cerrado,0.152497,cerrado,TP
CLAHE,closed_eye_0191.jpg_face_1,B5,cerrado,0.094616,cerrado,0.21042,abierto,FN
CLAHE,closed_eye_0191.jpg_face_1,B10,cerrado,0.094616,cerrado,0.135399,cerrado,TP
CLAHE,closed_eye_0191.jpg_face_1,B15,cerrado,0.094616,cerrado,0.141963,cerrado,TP
CLAHE,closed_eye_0191.jpg_face_1,B25,cerrado,0.094616,cerrado,0.132077,cerrado,TP
CLAHE,closed_eye_0191.jpg_face_1,B40,cerrado,0.094616,cerrado,0.127055,cerrado,TP
CLAHE,closed_eye_0192.jpg_face_1,B5,cerrado,0.061993,cerrado,0.132675,cerrado,TP
CLAHE,closed_eye_0192.jpg_face_1,B10,cerrado,0.061993,cerrado,0.057311,cerrado,TP
CLAHE,closed_eye_0192.jpg_face_1,B15,cerrado,0.061993,cerrado,0.05173,cerrado,TP
CLAHE,closed_eye_0192.jpg_face_1,B25,cerrado,0.061993,cerrado,0.065008,cerrado,TP
CLAHE,closed_eye_0192.jpg_face_1,B40,cerrado,0.061993,cerrado,0.075026,cerrado,TP
CLAHE,closed_eye_0195.jpg_face_1,B5,cerrado,0.071417,cerrado,0.086233,cerrado,TP
CLAHE,closed_eye_0195.jpg_face_1,B10,cerrado,0.071417,cerrado,0.058562,cerrado,TP
CLAHE,closed_eye_0195.jpg_face_1,B15,cerrado,0.071417,cerrado,0.067276,cerrado,TP
CLAHE,closed_eye_0195.jpg_face_1,B25,cerrado,0.071417,cerrado,0.068509,cerrado,TP
CLAHE,closed_eye_0195.jpg_face_1,B40,cerrado,0.071417,cerrado,0.072786,cerrado,TP
CLAHE,closed_eye_0209.jpg_face_1,B5,cerrado,0.068434,cerrado,0.088486,cerrado,TP
CLAHE,closed_eye_0209.jpg_face_1,B10,cerrado,0.068434,cerrado,0.076438,cerrado,TP
CLAHE,closed_eye_0209.jpg_face_1,B15,cerrado,0.068434,cerrado,0.061629,cerrado,TP
CLAHE,closed_eye_0209.jpg_face_1,B25,cerrado,0.068434,cerrado,0.052231,cerrado,TP
CLAHE,closed_eye_0209.jpg_face_1,B40,cerrado,0.068434,cerrado,0.043985,cerrado,TP
CLAHE,closed_eye_0212.jpg_face_1,B5,cerrado,0.02427,cerrado,0.098382,cerrado,TP
CLAHE,closed_eye_0212.jpg_face_1,B10,cerrado,0.02427,cerrado,0.070575,cerrado,TP
CLAHE,closed_eye_0212.jpg_face_1,B15,cerrado,0.02427,cerrado,0.053404,cerrado,TP
CLAHE,closed_eye_0212.jpg_face_1,B25,cerrado,0.02427,cerrado,0.045374,cerrado,TP
CLAHE,closed_eye_0212.jpg_face_1,B40,cerrado,0.02427,cerrado,0.035341,cerrado,TP
CLAHE,closed_eye_0228.jpg_face_2,B5,cerrado,0.05744,cerrado,0.159253,abierto,FN
CLAHE,closed_eye_0228.jpg_face_2,B10,cerrado,0.05744,cerrado,0.137314,cerrado,TP
CLAHE,closed_eye_0228.jpg_face_2,B15,cerrado,0.05744,cerrado,0.099321,cerrado,TP
CLAHE,closed_eye_0228.jpg_face_2,B25,cerrado,0.05744,cerrado,0.073521,cerrado,TP
CLAHE,closed_eye_0228.jpg_face_2,B40,cerrado,0.05744,cerrado,0.077101,cerrado,TP
CLAHE,closed_eye_0238.jpg_face_2,B5,cerrado,0.057296,cerrado,0.14248,cerrado,TP
CLAHE,closed_eye_0238.jpg_face_2,B10,cerrado,0.057296,cerrado,0.099484,cerrado,TP
CLAHE,closed_eye_0238.jpg_face_2,B15,cerrado,0.057296,cerrado,0.103307,cerrado,TP
CLAHE,closed_eye_0238.jpg_face_2,B25,cerrado,0.057296,cerrado,0.090024,cerrado,TP
CLAHE,closed_eye_0238.jpg_face_2,B40,cerrado,0.057296,cerrado,0.064614,cerrado,TP
CLAHE,closed_eye_0241.jpg_face_1,B5,cerrado,0.078336,cerrado,,no_det,no_det
CLAHE,closed_eye_0241.jpg_face_1,B10,cerrado,0.078336,cerrado,0.143838,cerrado,TP
CLAHE,closed_eye_0241.jpg_face_1,B15,cerrado,0.078336,cerrado,0.07505,cerrado,TP
CLAHE,closed_eye_0241.jpg_face_1,B25,cerrado,0.078336,cerrado,0.072174,cerrado,TP
CLAHE,closed_eye_0241.jpg_face_1,B40,cerrado,0.078336,cerrado,0.071747,cerrado,TP
CLAHE,closed_eye_0243.jpg_face_1,B5,cerrado,0.087037,cerrado,0.16386,abierto,FN
CLAHE,closed_eye_0243.jpg_face_1,B10,cerrado,0.087037,cerrado,0.099409,cerrado,TP
CLAHE,closed_eye_0243.jpg_face_1,B15,cerrado,0.087037,cerrado,0.092616,cerrado,TP
CLAHE,closed_eye_0243.jpg_face_1,B25,cerrado,0.087037,cerrado,0.080765,cerrado,TP
CLAHE,closed_eye_0243.jpg_face_1,B40,cerrado,0.087037,cerrado,0.081995,cerrado,TP
CLAHE,closed_eye_0243.jpg_face_2,B5,cerrado,0.065808,cerrado,0.178409,abierto,FN
CLAHE,closed_eye_0243.jpg_face_2,B10,cerrado,0.065808,cerrado,0.152082,cerrado,TP
CLAHE,closed_eye_0243.jpg_face_2,B15,cerrado,0.065808,cerrado,0.124066,cerrado,TP
CLAHE,closed_eye_0243.jpg_face_2,B25,cerrado,0.065808,cerrado,0.112288,cerrado,TP
CLAHE,closed_eye_0243.jpg_face_2,B40,cerrado,0.065808,cerrado,0.107714,cerrado,TP
CLAHE,closed_eye_0248.jpg_face_1,B5,cerrado,0.088974,cerrado,0.167012,abierto,FN
CLAHE,closed_eye_0248.jpg_face_1,B10,cerrado,0.088974,cerrado,0.111212,cerrado,TP
CLAHE,closed_eye_0248.jpg_face_1,B15,cerrado,0.088974,cerrado,0.108023,cerrado,TP
CLAHE,closed_eye_0248.jpg_face_1,B25,cerrado,0.088974,cerrado,0.125674,cerrado,TP
CLAHE,closed_eye_0248.jpg_face_1,B40,cerrado,0.088974,cerrado,0.178925,abierto,FN
CLAHE,closed_eye_0249.JPG_face_1,B5,cerrado,0.081528,cerrado,0.188606,abierto,FN
CLAHE,closed_eye_0249.JPG_face_1,B10,cerrado,0.081528,cerrado,,no_det,no_det
CLAHE,closed_eye_0249.JPG_face_1,B15,cerrado,0.081528,cerrado,,no_det,no_det
CLAHE,closed_eye_0249.JPG_face_1,B25,cerrado,0.081528,cerrado,0.088091,cerrado,TP
CLAHE,closed_eye_0249.JPG_face_1,B40,cerrado,0.081528,cerrado,0.089946,cerrado,TP
CLAHE,closed_eye_0251.jpg_face_1,B5,cerrado,0.114122,cerrado,0.095108,cerrado,TP
CLAHE,closed_eye_0251.jpg_face_1,B10,cerrado,0.114122,cerrado,0.088437,cerrado,TP
CLAHE,closed_eye_0251.jpg_face_1,B15,cerrado,0.114122,cerrado,0.089443,cerrado,TP
CLAHE,closed_eye_0251.jpg_face_1,B25,cerrado,0.114122,cerrado,0.074233,cerrado,TP
CLAHE,closed_eye_0251.jpg_face_1,B40,cerrado,0.114122,cerrado,0.095471,cerrado,TP
CLAHE,closed_eye_0260.jpg_face_1,B5,cerrado,0.037491,cerrado,0.137278,cerrado,TP
CLAHE,closed_eye_0260.jpg_face_1,B10,cerrado,0.037491,cerrado,,no_det,no_det
CLAHE,closed_eye_0260.jpg_face_1,B15,cerrado,0.037491,cerrado,0.049023,cerrado,TP
CLAHE,closed_eye_0260.jpg_face_1,B25,cerrado,0.037491,cerrado,0.064298,cerrado,TP
CLAHE,closed_eye_0260.jpg_face_1,B40,cerrado,0.037491,cerrado,0.048516,cerrado,TP
CLAHE,closed_eye_0261.jpg_face_1,B5,cerrado,0.037971,cerrado,0.077865,cerrado,TP
CLAHE,closed_eye_0261.jpg_face_1,B10,cerrado,0.037971,cerrado,0.045976,cerrado,TP
CLAHE,closed_eye_0261.jpg_face_1,B15,cerrado,0.037971,cerrado,0.04157,cerrado,TP
CLAHE,closed_eye_0261.jpg_face_1,B25,cerrado,0.037971,cerrado,0.039672,cerrado,TP
CLAHE,closed_eye_0261.jpg_face_1,B40,cerrado,0.037971,cerrado,0.049804,cerrado,TP
CLAHE,closed_eye_0271.jpg_face_1,B5,cerrado,0.046168,cerrado,0.140441,cerrado,TP
CLAHE,closed_eye_0271.jpg_face_1,B10,cerrado,0.046168,cerrado,0.078821,cerrado,TP
CLAHE,closed_eye_0271.jpg_face_1,B15,cerrado,0.046168,cerrado,0.05714,cerrado,TP
CLAHE,closed_eye_0271.jpg_face_1,B25,cerrado,0.046168,cerrado,0.057876,cerrado,TP
CLAHE,closed_eye_0271.jpg_face_1,B40,cerrado,0.046168,cerrado,0.052864,cerrado,TP
CLAHE,closed_eye_0272.jpg_face_1,B5,cerrado,0.068621,cerrado,,no_det,no_det
CLAHE,closed_eye_0272.jpg_face_1,B10,cerrado,0.068621,cerrado,,no_det,no_det
CLAHE,closed_eye_0272.jpg_face_1,B15,cerrado,0.068621,cerrado,,no_det,no_det
CLAHE,closed_eye_0272.jpg_face_1,B25,cerrado,0.068621,cerrado,,no_det,no_det
CLAHE,closed_eye_0272.jpg_face_1,B40,cerrado,0.068621,cerrado,0.062794,cerrado,TP
CLAHE,closed_eye_0282.jpg_face_1,B5,cerrado,0.098176,cerrado,0.131466,cerrado,TP
CLAHE,closed_eye_0282.jpg_face_1,B10,cerrado,0.098176,cerrado,0.094338,cerrado,TP
CLAHE,closed_eye_0282.jpg_face_1,B15,cerrado,0.098176,cerrado,0.076448,cerrado,TP
CLAHE,closed_eye_0282.jpg_face_1,B25,cerrado,0.098176,cerrado,0.092529,cerrado,TP
CLAHE,closed_eye_0282.jpg_face_1,B40,cerrado,0.098176,cerrado,0.098773,cerrado,TP
CLAHE,closed_eye_0288.jpg_face_1,B5,cerrado,0.025711,cerrado,0.045217,cerrado,TP
CLAHE,closed_eye_0288.jpg_face_1,B10,cerrado,0.025711,cerrado,0.045678,cerrado,TP
CLAHE,closed_eye_0288.jpg_face_1,B15,cerrado,0.025711,cerrado,0.04886,cerrado,TP
